OBJECTID,Src_Elv,Src_Slope,Src_SlopeD,SRTM_Elv,SRTM_Slope,SRTM_SlpeD,Src_Lndfrm,Src_Lyth,SmplNam_v1,TypeNam_v1,Shape_Leng,Shape_Area,Legenda
14170,< 600,1,<2,< 600,1,<2,RePPProT: coastal beach ridges and swales,RePPProT Destom: sand ridges,Coastal flats,Coastal beach ridges and swales,113.9992918,0.502133951,Hutan Lahan Kering Sekunder
14170,< 600,1,<2,< 600,1,<2,RePPProT: coastal beach ridges and swales,RePPProT Destom: sand ridges,Coastal flats,Coastal beach ridges and swales,113.9992918,0.502133951,Hutan Lahan Kering Sekunder
14170,< 600,1,<2,< 600,1,<2,RePPProT: coastal beach ridges and swales,RePPProT Destom: sand ridges,Coastal flats,Coastal beach ridges and swales,113.9992918,0.502133951,Hutan Mangrove Primer
14170,< 600,1,<2,< 600,1,<2,RePPProT: coastal beach ridges and swales,RePPProT Destom: sand ridges,Coastal flats,Coastal beach ridges and swales,113.9992918,0.502133951,Hutan Mangrove Primer
14170,< 600,1,<2,< 600,1,<2,RePPProT: coastal beach ridges and swales,RePPProT Destom: sand ridges,Coastal flats,Coastal beach ridges and swales,113.9992918,0.502133951,Hutan Mangrove Primer
14170,< 600,1,<2,< 600,1,<2,RePPProT: coastal beach ridges and swales,RePPProT Destom: sand ridges,Coastal flats,Coastal beach ridges and swales,113.9992918,0.502133951,Belukar
14170,< 600,1,<2,< 600,1,<2,RePPProT: coastal beach ridges and swales,RePPProT Destom: sand ridges,Coastal flats,Coastal beach ridges and swales,113.9992918,0.502133951,Belukar
14170,< 600,1,<2,< 600,1,<2,RePPProT: coastal beach ridges and swales,RePPProT Destom: sand ridges,Coastal flats,Coastal beach ridges and swales,113.9992918,0.502133951,Belukar
14170,< 600,1,<2,< 600,1,<2,RePPProT: coastal beach ridges and swales,RePPProT Destom: sand ridges,Coastal flats,Coastal beach ridges and swales,113.9992918,0.502133951,Belukar
14170,< 600,1,<2,< 600,1,<2,RePPProT: coastal beach ridges and swales,RePPProT Destom: sand ridges,Coastal flats,Coastal beach ridges and swales,113.9992918,0.502133951,Belukar
14170,< 600,1,<2,< 600,1,<2,RePPProT: coastal beach ridges and swales,RePPProT Destom: sand ridges,Coastal flats,Coastal beach ridges and swales,113.9992918,0.502133951,Belukar
14170,< 600,1,<2,< 600,1,<2,RePPProT: coastal beach ridges and swales,RePPProT Destom: sand ridges,Coastal flats,Coastal beach ridges and swales,113.9992918,0.502133951,Perkebunan
14170,< 600,1,<2,< 600,1,<2,RePPProT: coastal beach ridges and swales,RePPProT Destom: sand ridges,Coastal flats,Coastal beach ridges and swales,113.9992918,0.502133951,Perkebunan
14170,< 600,1,<2,< 600,1,<2,RePPProT: coastal beach ridges and swales,RePPProT Destom: sand ridges,Coastal flats,Coastal beach ridges and swales,113.9992918,0.502133951,Perkebunan
14170,< 600,1,<2,< 600,1,<2,RePPProT: coastal beach ridges and swales,RePPProT Destom: sand ridges,Coastal flats,Coastal beach ridges and swales,113.9992918,0.502133951,Pemukiman
14170,< 600,1,<2,< 600,1,<2,RePPProT: coastal beach ridges and swales,RePPProT Destom: sand ridges,Coastal flats,Coastal beach ridges and swales,113.9992918,0.502133951,Pemukiman
